lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.0727489
# Diagonal elements of inverse mass matrix:
# 95.7816, 101.461, 1.23206, 1.23015, 0.303326, 0.882358, 1.10272, 0.998361, 0.941129, 0.956357, 0.936554, 0.94045, 0.952729, 1.01399, 0.977728, 1.12269, 0.920401, 0.98989, 0.936226, 0.955028, 1.0362, 0.920647, 0.924963, 3.81298
-15.5238,0.999544,0.0727489,6,63,0,31.9344,-4.08408,-8.72701,0.444974,0.0497825,1,-0.048164,0,0.998839,3.06133,-0.518905,-0.376713,0.331606,-0.200264,-0.127988,1.24564,0.654076,-0.915755,-0.023683,1.23929,0.707028,0.039184,-0.151065,-0.0292228,-2.13318,-0.27838,-1.24699,0.232135,0.444974,-0.00239772,0,0.0497247,1.36221,-0.2309,-0.167628,0.147556,-0.0891125,-0.0569513,0.554277,0.291047,-0.407488,-0.00851785,0.0628675,0.03606,0.00115331,-0.00703149,-0.00114621,-0.109058,-0.0154107,-0.0598103,0.588084,0.0188717,0.000162727,0.00862281,0.00846146,-0.018709,1,0,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0
-13.0949,0.999852,0.0727489,6,63,0,19.5276,-0.18145,6.47248,0.412063,0.198616,1,0.103729,0,0.994606,-3.08472,0.349848,0.657547,0.00961704,0.0872701,0.0509866,-1.17907,-0.501837,0.760094,-0.347312,-1.32066,-1.05062,0.454673,0.00436706,0.230467,1.646,-0.0853714,1.13058,0.296877,0.412063,0.0206022,0,0.197545,-1.2711,0.144159,0.270951,0.00396282,0.0359607,0.0210096,-0.485851,-0.206788,0.313206,-0.132162,-0.253681,-0.193997,0.0900165,0.00266065,0.046578,0.300868,-0.0272036,0.239001,0.588084,0.456027,0.998388,2.18932,738.868,0.542361,3,112,45,15,0,217,12,41,45,12,168,20,34,0,498,30,100,100
-14.2989,0.999009,0.0727489,6,63,0,23.5267,-5.76684,0.305466,0.0826678,0.594073,1,0.119902,0,0.992786,3.15784,1.61781,0.141527,-0.679512,-0.337015,-0.872197,-0.430702,0.857283,-0.83877,0.955521,1.03178,0.936684,-0.535994,-0.427183,-0.80175,-0.521564,0.514559,-0.427334,0.731769,0.0826678,0.0712305,0,0.589788,0.261051,0.133741,0.0116997,-0.0561738,-0.0278603,-0.0721026,-0.0356052,0.0708697,-0.0693392,0.788488,0.723768,0.562526,-0.364524,-0.275953,-0.534989,-0.338291,0.364545,-0.311782,0.588084,0.00314109,0.571598,181.975,423.441,0.568457,0,0,0,0,0,3,0,0,0,6,0,0,0,0,220,0,61,0
-13.3491,0.997096,0.0727489,6,63,0,24.3907,5.50369,0.175933,0.313234,0.109649,1,-0.0842861,0,0.996442,-3.12039,-1.48962,0.0936798,0.70929,0.338566,0.765419,0.352511,-0.96495,0.829304,-0.905281,-0.987639,-0.725337,0.699523,0.420971,0.768652,0.667627,-0.490935,-0.0202228,0.528279,0.313234,-0.00924186,0,0.109258,-0.977413,-0.466599,0.0293437,0.222174,0.10605,0.239756,0.110418,-0.302255,0.259766,-0.0700714,-0.0941411,-0.080115,0.0698736,0.0428656,0.0769078,0.0696861,-0.0447209,-0.00987383,0.588084,0.99556,0.54378,0.546205,0.00531589,-0.45178,0,0,0,0,0,0,0,99,98,0,0,0,0,0,0,0,55,59
-14.5102,0.999848,0.0727489,6,63,0,20.4458,-6.70644,0.189572,0.113659,0.0968928,1,0.281739,0,0.959491,3.12211,1.58494,-0.123722,-0.514844,-0.355462,-0.596433,-0.128609,0.983391,-0.779595,0.993868,0.93761,0.802335,-0.773201,-0.259958,-0.735819,-0.595115,0.637088,0.00735154,0.571877,0.113659,0.0272985,0,0.0929678,0.354855,0.180142,-0.014062,-0.0585164,-0.0404012,-0.0677897,-0.0146175,0.111771,-0.0886076,0.177627,0.130434,0.0712139,-0.0859372,-0.0338713,-0.0846891,-0.0588373,0.0860737,-0.0205983,0.588084,0.00123987,0.547176,441.315,973.375,0.545936,0,3,0,0,0,0,0,0,1,6,97,12,0,5,0,14,62,57
-12.1883,0.999356,0.0727489,6,63,0,25.4434,8.0614,-1.83336,0.398241,1.06421,1,-0.532871,0,0.846196,-0.584147,0.373553,-0.16059,0.480036,-1.25177,0.21105,0.707282,0.483378,-0.0475513,-1.51411,-0.43123,-0.100125,1.14287,1.79921,0.0876863,-1.27322,-1.60092,-0.88321,0.290202,0.398241,-0.567086,0,0.900529,-0.232632,0.148764,-0.0639536,0.19117,-0.498505,0.0840487,0.281669,0.192501,-0.0189369,-1.03223,-0.600172,0.000902909,0.756962,2.3301,-0.0407192,-1.54767,-1.71579,-0.768391,0.588084,0.99961,0.174495,0.174563,8.24669e-05,-0.825115,12,0,80,30,51,502,0,0,0,2,0,3,8,4,58,0,0,0
-15.7696,0.99005,0.0727489,6,63,0,29.9384,23.9119,2.90672,0.642835,0.2463,1,0.356782,0,0.934188,1.04667,1.53797,0.427484,1.04993,-1.6298,1.28759,0.269207,-0.0561254,0.515636,-0.614669,-0.772358,-0.119041,1.5555,1.2155,0.851742,-1.13912,-1.12699,-0.843847,0.152627,0.642835,0.0878755,0,0.230091,0.672839,0.98866,0.274802,0.674933,-1.04769,0.827711,0.173056,-0.0360794,0.331469,-0.0494528,-0.0425628,0.010175,0.45017,0.136455,0.309126,-0.238445,-0.264241,-0.14885,0.588084,1,0.946682,0.946682,3.43158e-09,-0.0533177,12,224,0,30,51,502,30,101,98,11,156,0,34,13,478,27,94,91
-10.6405,0.999854,0.0727489,6,63,0,23.1968,0.54774,-0.581125,0.286137,0.83025,1,-0.324737,0,0.945804,-0.115327,0.0148896,0.845843,0.218496,-0.161249,0.941726,-1.70582,0.674204,-0.273366,0.653045,0.0802437,2.01879,-0.299607,0.117482,-0.0668487,0.638702,1.04733,1.14586,0.913642,0.286137,-0.269613,0,0.785254,-0.0329994,0.00426047,0.242027,0.0625198,-0.0461393,0.269463,-0.488098,0.192915,-0.0782201,0.543899,0.0589972,1.35721,-0.294177,0.135728,-0.306395,0.961454,0.640646,0.973493,0.588084,0.631846,0.372337,0.589284,0.345643,-0.259509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13.0089,0.998136,0.0727489,6,63,0,22.5432,-5.35084,12.656,0.254556,0.736853,1,0.477322,0,0.878729,-0.77231,-0.884628,0.298354,-0.552312,0.0248897,-1.26775,0.718642,-1.05962,1.97308,0.279361,-0.607124,-0.204001,-0.781311,0.859982,0.17526,0.335985,-0.727456,-2.03269,0.882584,0.254556,0.351716,0,0.647494,-0.196596,-0.225187,0.0759479,-0.140594,0.00633584,-0.322713,0.182935,-0.269733,0.502259,-0.0907493,-0.704246,-0.0271535,-0.700151,0.565587,-0.332408,0.470306,-0.843709,-0.622189,0.588084,0.00500712,0.999991,199.714,2.19544e+07,0.994984,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,100,0
-11.8129,0.999358,0.0727489,6,63,0,24.261,-5.79892,-5.69772,0.345651,0.298709,1,0.0162753,0,0.999868,-0.705096,1.00796,0.544412,-0.108235,-1.10443,0.814405,-1.76118,-0.491272,-0.822485,-1.97433,0.545701,-0.922596,-0.0879542,-0.856068,-0.0334853,0.0428991,0.649887,1.25037,0.0975393,0.345651,0.00486158,0,0.298669,-0.243717,0.348401,0.188177,-0.0374116,-0.381747,0.2815,-0.608753,-0.169809,-0.284293,-0.593099,0.167884,-0.272904,-0.0267954,-0.26105,-0.00604173,0.00425053,0.191713,0.369449,0.588084,0.0033928,0.00364121,1.07322,1.07349,0.000248417,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
