lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.181848
# Diagonal elements of inverse mass matrix:
# 107.46, 92.1801, 1.01726, 1.11153, 0.350065, 1.14441, 0.990224, 0.98661, 0.948502, 0.97372, 0.972055, 0.895716, 0.98384, 1.01027, 1.04166, 1.03902, 0.994286, 0.959955, 1.00249, 1.12784, 1.05717, 0.949955, 0.912333, 3.76668
-11.9771,0.977283,0.181848,5,31,0,27.7599,-2.98647,-9.08355,0.566423,0.252287,1,-0.0368303,0,0.999322,0.700679,1.18744,0.0652325,1.81587,0.477049,1.00374,0.62019,-0.593774,0.334161,0.0205124,-0.624216,1.93097,-0.557267,-1.64469,0.0545927,1.67714,0.508019,0.330255,0.486118,0.566423,-0.00929181,0,0.252116,0.39688,0.672591,0.0369492,1.02855,0.270212,0.568543,0.35129,-0.336327,0.189277,-0.00133908,-0.168408,0.486222,-0.157368,-0.419084,0.00443709,0.417071,0.133597,0.0801575,0.588084,0.0555451,0.000125235,0.00225466,0.00212969,-0.0554198,0,21,0,4,3,37,0,7,5,0,0,0,0,0,0,0,0,0
-15.5769,0.974988,0.181848,5,31,0,26.7212,-8.70532,15.3583,0.616859,0.418219,1,-0.22637,0,0.974041,-0.613524,-1.28345,-1.31412,-1.42762,-0.296217,0.522089,-0.54776,0.930569,-0.519892,-1.14272,-1.69199,-0.688832,-0.678199,0.773175,1.53388,-1.08964,1.66928,-0.993022,0.08684,0.616859,-0.0946723,0,0.407363,-0.378458,-0.791708,-0.810625,-0.88064,-0.182724,0.322055,-0.337891,0.57403,-0.3207,-0.407418,-0.567747,-0.156194,-0.141117,0.343006,0.575419,-0.392021,0.591903,-0.355301,0.588084,0.000279148,1,3582.33,1.07413e+10,0.999721,0,0,0,0,0,0,0,0,0,12,168,20,34,0,500,30,100,100
-19.2314,0.985606,0.181848,5,31,0,31.3102,5.32672,-5.43906,0.769707,0.417719,1,-0.420584,0,0.907254,0.182278,-1.35371,1.71197,-0.934346,-1.06773,-0.116399,1.06341,-0.332395,0.408813,-0.113272,1.28041,-0.716219,-0.740371,0.273946,-1.01457,2.75436,-1.33713,1.82967,0.992377,0.769707,-0.175686,0,0.378977,0.140301,-1.04196,1.31772,-0.719172,-0.821839,-0.0895927,0.818514,-0.255846,0.314666,-0.0749511,0.723074,-0.5722,-0.116432,0.291405,-0.36405,0.857014,-0.448346,0.621579,0.588084,0.992253,0.00505647,0.00509595,3.96771e-05,-0.987197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18.5138,0.985468,0.181848,5,31,0,34.0247,-1.22999,-21.5562,1.07122,0.339128,1,-0.488521,0,0.872552,-0.280449,-0.962911,0.197101,2.88092,-0.82432,0.28012,-2.14158,0.197706,1.10279,-1.04313,1.312,0.0808573,-0.493982,0.476087,0.656789,1.70994,-1.19259,0.436038,0.514476,1.07122,-0.165671,0,0.295907,-0.300421,-1.03149,0.211137,3.08609,-0.883025,0.300069,-2.29409,0.211786,1.18132,-0.262206,0.547756,-0.00872767,-0.623459,0.277444,0.147941,0.86078,-0.38565,-0.0536731,0.588084,0.261015,6.59268e-10,2.52579e-09,1.86652e-09,-0.261015,1,21,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0
-15.5901,0.998608,0.181848,4,15,0,32.4568,-19.1095,-0.54159,0.152364,0.677581,1,0.445532,0,0.895266,0.107669,1.76525,1.23899,-1.39127,0.217659,-1.013,-0.87397,-2.00728,1.64673,-0.268135,-0.118799,0.0326156,-0.968273,0.372336,-0.424068,0.917392,0.188225,0.146495,0.932244,0.152364,0.301884,0,0.606615,0.0164049,0.26896,0.188777,-0.211979,0.0331634,-0.154345,-0.133162,-0.305837,0.250902,-0.130151,0.460835,0.393816,-1.00737,0.291573,-0.563056,0.292666,-0.491785,0.585987,0.588084,5.41944e-09,0.376808,6.9529e+07,1.11569e+08,0.376808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18.0182,0.992238,0.181848,5,31,0,29.6207,6.14312,4.45051,0.0751893,0.249112,1,-0.718798,0,0.695219,-0.324342,-1.14413,1.7266,-0.287448,1.83182,-0.227533,0.249966,-0.786882,1.31923,-1.14218,0.705058,-0.0686875,0.670672,-0.980055,-1.30633,0.16683,2.63176,-0.0989738,0.0951334,0.0751893,-0.179061,0,0.173187,-0.024387,-0.0860264,0.129822,-0.021613,0.137733,-0.0171081,0.0187948,-0.0591651,0.0991917,-0.139734,0.326977,-0.321063,0.167623,-0.497742,-0.185497,-0.0158664,0.596687,-0.253363,0.588084,0.997844,0.987914,0.990049,0.176645,-0.00992999,12,0,80,29,51,499,30,101,0,12,0,19,34,13,495,29,99,0
-17.6344,0.998403,0.181848,5,31,0,29.9498,-13.115,-10.8006,0.0228032,0.760157,1,0.555108,0,0.831779,-0.567867,-0.748997,-0.519144,0.691364,-1.37004,-0.875662,-1.17382,1.18547,-0.966227,1.02289,-0.321083,-0.836353,-0.306351,2.0746,1.73995,0.219507,-0.886601,-1.25202,0.789646,0.0228032,0.421969,0,0.632283,-0.0129492,-0.0170796,-0.0118382,0.0157653,-0.0312414,-0.0199679,-0.0267668,0.0270326,-0.0220331,0.407133,-0.519069,-0.747875,0.0980339,0.73362,0.730637,-0.356525,-0.0603511,-1.19935,0.588084,2.0172e-06,5.22095e-05,25.8822,25.8835,5.01923e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.4024,0.992355,0.181848,4,31,0,31.7679,-2.03882,-2.34477,0.00988029,0.537868,1,0.490019,0,0.871712,-1.18768,-0.560842,0.206294,0.402882,-0.953582,-0.788925,-2.49157,0.761101,-0.64657,1.27519,0.0470662,0.198906,0.478901,2.67981,2.09353,1.07647,0.517163,-0.156386,0.9179,0.00988029,0.263565,0,0.468866,-0.0117346,-0.00554128,0.00203825,0.00398059,-0.00942166,-0.00779481,-0.0246175,0.0075199,-0.0063883,0.284864,-0.125751,0.147632,0.330726,1.00514,0.773652,-0.151971,0.44308,-0.243738,0.588084,0.11519,0.0965993,0.838606,0.821349,-0.018591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.8804,0.992591,0.181848,4,31,0,34.2158,-3.04092,0.639276,0.036438,0.613685,1,-0.0745008,0,0.997221,-0.346666,-0.716403,0.601539,2.53046,-0.138691,-0.0472675,-0.301016,-0.197082,1.46659,-0.66112,1.91001,0.417497,1.32275,0.56651,0.520885,1.08953,1.85246,-0.57103,0.844053,0.036438,-0.04572,0,0.611979,-0.0126318,-0.0261043,0.0219188,0.0922048,-0.00505363,-0.00172233,-0.0109684,-0.00718125,0.0534398,-0.388742,1.20164,0.227997,0.693803,0.353034,0.320932,0.680533,1.14268,-0.416512,0.588084,0.0456415,0.645957,14.1529,38.1504,0.600315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.2201,0.988532,0.181848,4,15,0,28.1373,-1.51758,-8.87453,0.0385266,0.339045,1,0.345774,0,0.938318,-0.544251,0.826398,1.41379,-0.798767,-1.77519,1.56317,0.854415,0.442831,1.02016,1.00926,1.03153,2.20008,-0.525976,-0.669493,-0.291283,-0.00900032,-0.140135,-0.355537,0.196122,0.0385266,0.117233,0,0.318132,-0.0209682,0.0318383,0.0544688,-0.0307738,-0.0683921,0.0602237,0.0329178,0.0170608,0.0393035,0.257274,0.425045,0.865659,-0.260972,-0.421098,0.0905888,0.0973024,0.00733289,0.00648906,0.588084,0.179875,0.000166024,0.000922996,0.000757098,-0.179709,4,49,15,5,0,110,4,16,23,0,0,0,0,0,0,0,0,0
-11.8487,0.997433,0.181848,5,31,0,23.6869,6.97861,10.1187,0.164726,0.36294,1,0.375005,0,0.927023,-0.386406,0.409789,-1.62344,-1.4351,0.845756,-0.757978,0.37596,-1.00371,-0.0890435,1.77979,-0.478724,-0.951555,1.3174,0.214303,0.614855,-0.528721,-0.289189,0.166428,0.18644,0.164726,0.136104,0,0.336453,-0.0636511,0.0675028,-0.267423,-0.236399,0.139318,-0.124858,0.0619302,-0.165337,-0.0146678,0.546225,-0.105294,-0.541112,0.24792,0.187214,0.103706,-0.12672,-0.233908,0.0438762,0.588084,0.999039,0.99995,1.00091,19.1009,0.000911084,12,0,0,30,51,502,30,101,98,12,0,0,34,13,500,30,100,100
-10.5449,0.989387,0.181848,5,31,0,21.8455,2.56664,10.4135,0.159473,0.564081,1,-0.0579173,0,0.998321,-0.25945,0.54431,-1.22387,-1.7171,0.599374,-0.832633,1.01558,-1.66552,-0.141773,1.08858,-0.864245,-0.351144,0.428009,0.133069,0.704162,-0.470655,0.536849,0.375111,0.762421,0.159473,-0.0326701,0,0.563134,-0.0413754,0.086803,-0.195175,-0.273831,0.0955842,-0.132783,0.161959,-0.265606,-0.0226091,0.62149,-0.504469,-0.157757,0.297124,0.055354,0.42374,-0.298221,0.356731,0.21587,0.588084,0.927937,0.999949,1.0776,1523.01,0.0720117,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,100
-11.4784,0.972155,0.181848,4,31,0,22.8576,-8.15333,0.762732,0.140719,0.0689748,1,0.0667458,0,0.99777,-0.0711163,-1.67902,1.09672,1.2433,0.0254707,0.331391,-0.519258,1.45162,-1.127,-1.27789,0.839548,-0.39905,-0.185583,0.230504,0.0199742,-0.140582,-0.449724,0.0574885,0.218939,0.140719,0.00460378,0,0.068821,-0.0100074,-0.23627,0.154329,0.174955,0.0035842,0.0466329,-0.0730693,0.20427,-0.15859,-0.0882733,0.0500487,-0.022414,-0.00704814,0.0159808,0.00290029,-0.0120656,-0.0242675,-0.00123205,0.588084,0.000295792,0.681811,2305.04,7242.08,0.681515,0,0,0,0,0,1,0,0,0,5,114,10,20,10,337,23,62,77
-15.3619,0.985491,0.181848,4,31,0,23.3011,-10.7129,-0.341022,0.344128,0.0582309,1,-0.691338,0,0.722531,-0.613255,0.600788,1.26121,-0.0955949,-0.132302,-0.445857,-1.4833,-0.960191,1.17025,-0.482153,-1.30548,0.380856,2.44209,0.546721,-0.755934,-1.60833,-0.26511,-0.0870015,0.427631,0.344128,-0.0402573,0,0.0420736,-0.211038,0.206748,0.434017,-0.0328969,-0.0455288,-0.153432,-0.510446,-0.330429,0.402715,0.00440205,-0.0791124,-0.0347487,0.106596,0.0283286,-0.0138559,-0.00795454,0.0275005,-0.0507714,0.588084,2.75342e-05,0.41561,15094.3,25828.4,0.415582,0,0,0,0,0,0,0,0,0,7,77,0,16,0,0,0,42,38
-17.2771,0.988758,0.181848,5,31,0,27.6559,17.1196,-1.17408,0.00967575,0.262395,1,0.441518,0,0.897252,0.52336,-0.498062,-1.63069,0.00205815,0.324205,1.0939,1.147,0.559373,-1.13321,0.174998,1.4438,-0.396709,-2.21629,-0.137918,0.716701,1.6465,-0.232957,0.0884639,0.759675,0.00967575,0.115852,0,0.235434,0.0050639,-0.00481912,-0.0157781,1.99141e-05,0.00313692,0.0105843,0.0110981,0.00541235,-0.0109647,0.101833,0.28222,-0.282317,-0.521553,0.00508923,0.295467,0.520525,0.00995837,-0.110457,0.588084,1,0.238604,0.238604,1.15142e-08,-0.761396,0,0,80,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
