lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.0854703
# Diagonal elements of inverse mass matrix:
# 0.249347, 0.449047, 1.41909, 1.08653, 0.333932, 0.930945, 0.97451, 0.95328, 0.907586, 1.13495, 1.02243, 0.887816, 1.06004, 0.788147, 1.00911, 0.965062, 1.07327, 0.939581, 1.00915, 0.942458, 1.00442, 0.999081, 1.08989, 0.565672
-29.8929,0.987787,0.0854703,6,63,0,44.3778,-2.88798,-3.46418,0.477417,0.720214,1,-0.258996,0,0.965878,-1.89193,0.125099,-1.15906,0.385073,0.0330899,0.503842,-0.610085,-1.18906,-0.751344,0.365286,-0.255897,1.18811,-2.96694,0.32588,1.22885,-1.76791,-0.00436134,0.398473,0.632977,0.477417,-0.186532,0,0.69564,-0.903238,0.0597242,-0.553353,0.18384,0.0157977,0.240543,-0.291265,-0.56768,-0.358704,0.607013,-0.201347,1.0427,-2.13575,0.220523,0.76085,-1.11603,0.218765,0.417344,0.588084,0.0583887,0.039549,0.67734,0.664054,-0.0188397,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3
-25.6099,0.999792,0.0854703,5,31,0,38.7482,-2.53169,-4.06166,0.339363,0.290289,1,0.280676,0,0.959803,0.383438,-0.418984,-0.264816,-0.720216,-1.08149,0.467641,-1.12069,-1.25854,-0.999305,1.20655,0.827298,-1.13795,0.386221,0.74212,-0.500249,0.739426,0.793801,-0.0125055,0.737211,0.339363,0.081477,0,0.27862,0.130124,-0.142188,-0.0898685,-0.244415,-0.367018,0.1587,-0.38032,-0.427101,-0.339127,0.367411,0.196364,-0.338631,0.0489279,0.118653,-0.101277,0.114709,0.118627,-0.0849047,0.588084,0.0770779,0.0179202,0.232495,0.21849,-0.0591577,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
-31.5259,0.991978,0.0854703,5,31,0,37.8779,-2.63329,-3.50364,0.384092,0.170837,1,0.546771,0,0.837282,1.65565,-0.622931,-0.979104,-0.399763,-0.541905,0.905286,-1.26437,-1.69074,-2.14272,1.23869,0.405136,-1.23742,-0.113198,1.36988,-0.977698,0.0944036,0.699479,-2.18096,0.777766,0.384092,0.0934089,0,0.143039,0.635922,-0.239263,-0.376067,-0.153546,-0.208142,0.347713,-0.485634,-0.649399,-0.823003,0.331833,-0.000237037,-0.268457,-0.0535331,0.145328,-0.0552871,-0.1046,-0.057877,-0.512112,0.588084,0.0711882,0.0297105,0.417352,0.399511,-0.0414777,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-30.404,0.99999,0.0854703,6,63,0,42.4481,-3.1475,-3.77917,0.528533,0.184511,1,-0.303165,0,0.952938,-2.03549,0.410196,1.03164,0.436983,-0.129988,-0.58663,1.18317,1.83422,0.660966,-1.08085,-0.590872,1.05948,0.432666,-1.26205,0.84562,-0.115911,-0.512561,1.54649,0.702396,0.528533,-0.0559373,0,0.175828,-1.07582,0.216802,0.545256,0.23096,-0.0687032,-0.310053,0.625343,0.969446,0.349342,-0.0761838,-0.126837,0.128579,0.0516311,-0.214632,0.181498,-0.0865636,-0.192724,0.234944,0.588084,0.0471709,0.0228182,0.483735,0.47168,-0.0243527,0,14,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0
-35.4769,0.99459,0.0854703,5,63,0,45.8654,-3.08512,-3.62184,0.39183,0.220707,1,-0.641338,0,0.767259,-2.85664,1.8192,0.613679,0.972897,0.35144,-0.521959,1.11633,-0.0704984,0.0187627,-0.675579,-0.220804,2.23791,0.349834,-1.66792,1.70674,-0.477858,1.27985,-0.245209,0.888363,0.39183,-0.141548,0,0.16934,-1.11932,0.712819,0.240458,0.381211,0.137705,-0.204519,0.437413,-0.0276234,0.00735181,0.289949,-0.294895,0.292102,-0.0784708,-0.33219,0.3629,-0.238935,0.226708,-0.0441794,0.588084,0.0471403,0.0268125,0.56878,0.556899,-0.0203278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.1935,0.998087,0.0854703,6,63,0,49.9318,-3.36516,-2.73915,0.420945,0.612477,1,0.637382,0,0.770548,2.72465,-2.19695,-0.992602,-1.51579,1.05078,0.194898,-0.188904,0.181709,-0.334036,2.08601,0.464716,-1.72948,-1.06862,1.37161,-1.83551,0.951656,-0.992391,-0.968075,0.462883,0.420945,0.390382,0,0.471943,1.14693,-0.924795,-0.417831,-0.638062,0.442319,0.0820415,-0.079518,0.0764893,-0.140611,2.04813,-0.638331,-1.20371,-1.09606,1.05753,-0.790173,0.375383,-0.397416,-0.587278,0.588084,0.0367366,0.0706284,1.92256,1.99268,0.0338919,2,3,0,2,0,0,0,0,5,3,6,0,0,0,0,1,0,1
-29.8397,0.984599,0.0854703,5,31,0,50.574,-2.78344,-3.53977,0.274993,0.135125,1,0.231841,0,0.972754,1.09928,-1.75518,1.70019,-1.43219,1.38698,0.530718,-0.0347284,0.845498,-0.492873,-0.207367,-1.13599,0.0106589,-0.211791,1.6985,1.95471,-0.103766,0.233535,1.09418,0.783343,0.274993,0.0313275,0,0.131443,0.302295,-0.482662,0.467539,-0.39384,0.38141,0.145944,-0.00955006,0.232506,-0.135536,0.00718087,-0.204304,0.0546637,-0.0727053,0.266707,0.27356,-0.0147273,0.057184,0.128382,0.588084,0.0602144,0.0285081,0.473444,0.457992,-0.0317063,0,0,5,0,0,35,0,0,0,0,0,1,0,0,15,0,0,0
-27.1365,0.996126,0.0854703,5,31,0,41.7638,-3.00538,-3.51224,0.205538,0.195624,1,0.061896,0,0.998083,0.730837,-1.49436,1.97094,-1.67243,0.959204,0.369321,-0.573118,0.588483,-0.455635,-0.255091,-1.09199,0.322202,-0.11086,0.885232,1.73121,-0.18046,-0.273269,0.527367,0.709075,0.205538,0.0121083,0,0.195249,0.150215,-0.307147,0.405105,-0.343748,0.197153,0.0759097,-0.117798,0.120956,-0.0936504,-0.040957,-0.231304,0.0867745,-0.0418956,0.184455,0.342489,-0.0421742,-0.0462299,0.0974508,0.588084,0.0481695,0.0296203,0.614917,0.603163,-0.0185492,0,0,0,1,3,27,1,0,4,0,0,0,1,0,11,2,0,6
-30.506,0.997927,0.0854703,6,63,0,39.7352,-3.12072,-3.47475,0.153569,0.683988,1,0.0674952,0,0.99772,0.270731,-1.07329,1.24515,-1.88353,0.423678,0.467424,-1.31372,0.409979,1.04537,-0.683019,-0.553604,1.79886,0.785383,-0.252055,2.72473,-0.056196,0.029772,-0.383657,0.628117,0.153569,0.0461659,0,0.682428,0.0415758,-0.164825,0.191217,-0.289252,0.0650639,0.0717818,-0.201747,0.0629601,0.160536,-0.453613,-0.427344,1.28508,0.449012,-0.15245,1.88101,-0.0989986,0.0392443,-0.213558,0.588084,0.0427757,0.0382825,0.894959,0.890778,-0.0044932,0,8,0,0,0,22,0,0,0,0,4,0,2,0,78,2,0,0
-32.9078,0.989194,0.0854703,5,63,0,48.7394,-2.93062,-3.18438,0.837735,0.0337305,1,-0.191848,0,0.981425,-1.27543,0.874173,-0.472161,-0.685933,1.10015,0.747359,2.07529,0.0849279,-1.38521,-0.524701,0.0331555,-1.32263,-1.40409,0.699627,-2.4873,0.610531,-0.138003,1.34396,0.78625,0.837735,-0.00647114,0,0.0331039,-1.06847,0.732325,-0.395546,-0.57463,0.921634,0.626089,1.73854,0.0711471,-1.16044,-0.00911618,-0.00455931,-0.0407288,-0.0420423,0.0160412,-0.0871758,0.00678149,-0.00511804,0.0534544,0.588084,0.0673013,0.0397819,0.591101,0.574161,-0.0275194,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,2,0
