# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = zibglmm_model1_model
# start_datetime = 2025-06-22 12:21:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/standata-ea36f43448e.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/zibglmm_model1-202506220921-4-155b87.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/5z7rwr7n0895ly1fj8jxstvw0000gn/T/RtmpiiIthC/zibglmm_model1-profile-202506220921-4-3103a9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=zibglmm_model1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.0634415
# Diagonal elements of inverse mass matrix:
# 0.283863, 0.482697, 1.15464, 1.07591, 0.32518, 1.03276, 0.82661, 1.12292, 1.02101, 0.928682, 1.00361, 1.01583, 1.11229, 0.822568, 0.88255, 0.956969, 1.06673, 0.951819, 0.938496, 1.08896, 0.89709, 0.920969, 0.916251, 0.54438
-25.6998,0.99773,0.0634415,6,63,0,39.8917,-3.60799,-2.80541,0.100356,0.731473,1,0.588852,0,0.808241,-0.883897,0.624477,-0.515788,-0.383748,-0.40156,0.234432,-0.190981,-0.406358,-0.0374685,0.655807,0.0960972,1.71234,-0.282081,0.306571,0.774014,-0.81616,-1.29768,-0.593435,0.57331,0.100356,0.43073,0,0.591207,-0.0887045,0.0626701,-0.0517625,-0.0385115,-0.040299,0.0235267,-0.0191661,-0.0407805,-0.00376019,0.00699685,0.325794,0.790184,-0.33206,0.00828285,0.558579,-0.56478,-0.942227,-0.366982,0.588084,0.0265524,0.0706276,2.65993,2.78608,0.0440752,0,9,0,0,1,13,1,0,0,0,13,0,0,1,56,1,0,0
-26.25,0.993062,0.0634415,6,63,0,41.501,-3.36223,-3.25499,0.684787,0.0443687,1,-0.200873,0,0.979617,1.12905,-0.589281,0.458603,0.375476,0.139669,-0.232663,0.180065,0.0290006,-0.999908,-0.313741,-0.209593,-1.64784,0.341482,0.71073,-0.950645,0.78318,1.09827,-0.61461,0.832631,0.684787,-0.00891248,0,0.0434643,0.773157,-0.403532,0.314045,0.257121,0.0956433,-0.159325,0.123307,0.0198592,-0.684724,-0.0236991,-0.00385786,-0.0757097,0.0114959,0.0296466,-0.0392456,0.0324356,0.047477,-0.0178019,0.588084,0.0423375,0.0371877,0.878363,0.873665,-0.0051498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.9438,0.983104,0.0634415,5,63,0,53.5681,-2.34388,-3.41699,0.128506,0.184678,1,0.118367,0,0.99297,2.32841,1.24884,-1.37862,-0.901164,0.0692728,1.03594,0.37165,-0.10609,1.25379,0.137606,-3.70553,0.0625201,-0.894936,-1.42282,0.591872,0.285337,0.794971,-0.0431,0.812691,0.128506,0.0218599,0,0.18338,0.299215,0.160483,-0.177162,-0.115805,0.00890198,0.133124,0.0477593,-0.0136333,0.161119,0.0761331,-0.652221,-0.0186716,-0.183813,-0.259403,0.131183,0.0604494,0.143463,0.019504,0.588084,0.0880872,0.0323889,0.367691,0.346525,-0.0556984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.6955,0.999815,0.0634415,6,63,0,48.2019,-3.56409,-3.01071,0.392847,0.376081,1,-0.731713,0,0.681613,-1.81869,-0.746395,1.30479,0.651191,0.306611,-0.768039,-0.571349,0.319006,-0.470703,-0.0180988,3.49811,0.173293,0.874772,2.20767,-0.232106,0.183795,-0.561705,-1.51065,0.645703,0.392847,-0.275183,0,0.256341,-0.714468,-0.293219,0.512582,0.255819,0.120451,-0.301722,-0.224453,0.12532,-0.184914,0.495834,1.1021,-0.314633,0.0450433,0.481542,0.151853,0.20434,-0.231773,-0.257712,0.588084,0.0301013,0.0502269,1.66859,1.70395,0.0201256,0,0,0,0,0,13,0,0,0,0,0,0,0,0,20,0,0,0
-22.1335,0.999992,0.0634415,5,31,0,38.0325,-2.76599,-3.41633,0.568375,0.391512,1,0.594504,0,0.804093,0.563797,0.700617,-0.665198,0.102568,0.468954,0.177105,-0.323652,-1.08025,0.213265,0.695952,-0.120478,0.63758,-0.34249,1.17139,0.680289,0.0196821,0.508063,-0.0923593,0.579441,0.568375,0.232756,0,0.314812,0.320448,0.398214,-0.378082,0.0582969,0.266542,0.100662,-0.183956,-0.613985,0.121215,0.350321,0.125145,0.0458893,-0.083947,0.477921,0.255386,-0.0691356,-0.0914889,0.0205629,0.588084,0.0676521,0.0345819,0.511173,0.493662,-0.0330702,0,0,0,1,0,0,0,8,9,0,0,0,0,0,0,0,3,4
-21.6209,0.999196,0.0634415,6,63,0,27.8115,-2.46593,-2.70224,0.768837,0.366804,1,0.163317,0,0.986574,-0.391024,-0.960787,0.74306,0.237095,0.512067,-0.172985,0.328568,0.589762,-0.358895,-0.659152,-0.107619,-0.778454,0.839519,-0.898531,-0.368883,0.238779,-0.369516,-1.41366,0.769658,0.768837,0.0599051,0,0.361879,-0.300634,-0.738689,0.571292,0.182287,0.393696,-0.132998,0.252615,0.453431,-0.275932,-0.261958,-0.0965011,-0.237193,0.318008,-0.294484,-0.143854,0.106092,-0.0983903,-0.533074,0.588084,0.0956146,0.0665157,0.695665,0.673979,-0.0290989,0,0,0,0,0,35,0,0,8,0,0,0,0,0,30,0,0,2
-34.3743,0.992568,0.0634415,5,31,0,39.2082,-2.78692,-3.21287,0.411904,0.570011,1,0.112604,0,0.99364,0.168387,-2.06676,-0.145822,1.39957,-0.025356,-1.15982,-0.0259456,0.691463,-1.34848,-1.58573,3.42432,-1.98049,-0.304418,-0.0913689,0.443973,2.34653,0.429086,-0.310724,0.800168,0.411904,0.0641852,0,0.566385,0.0693592,-0.851308,-0.0600646,0.576489,-0.0104443,-0.477734,-0.0106871,0.284817,-0.555443,-0.887325,1.80683,-1.13108,-0.0825864,-0.0533775,0.177016,1.32737,0.28741,-0.262541,0.588084,0.0624685,0.0453788,0.726427,0.713422,-0.0170897,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
-28.1364,0.999999,0.0634415,5,31,0,37.6164,-2.47274,-3.02219,0.666957,0.403889,1,0.352661,0,0.935751,0.147008,-1.50619,-0.507268,1.76407,-0.0117023,-0.253502,0.113281,0.10378,-0.864811,-1.95425,2.38577,-1.68083,-0.131762,0.213311,0.944589,1.28936,0.57227,-0.0757079,0.778429,0.666957,0.142436,0,0.377939,0.0980483,-1.00457,-0.338326,1.17656,-0.00780496,-0.169075,0.0755534,0.0692172,-0.576792,-0.717649,0.687142,-0.707504,0.201468,0.0789518,0.32089,0.503435,0.231065,-0.151793,0.588084,0.0909575,0.0501929,0.551828,0.528144,-0.0407646,0,6,0,3,0,0,0,0,5,0,14,0,0,0,0,0,0,4
-29.3053,0.995214,0.0634415,6,63,0,43.2015,-3.11615,-2.64958,0.139994,1.02266,1,-0.368555,0,0.929606,-1.4064,0.682597,0.338618,0.556732,0.23217,-0.335815,0.0649884,-0.251267,-0.0919677,1.99897,-1.25459,1.94585,-0.496063,1.38182,-1.27228,-1.85432,-1.36254,-1.11897,0.697332,0.139994,-0.376907,0,0.950671,-0.196888,0.0955597,0.0474046,0.0779393,0.0325025,-0.0470122,0.00909802,-0.0351759,-0.012875,2.43044,-1.44998,1.72224,-0.681429,1.22615,-1.08295,-1.78734,-1.20062,-1.02911,0.588084,0.042875,0.0935889,2.18283,2.30496,0.050714,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,1,2
