lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.114203
# Diagonal elements of inverse mass matrix:
# 0.265021, 0.455949, 1.03663, 1.12578, 0.352553, 0.942046, 0.986434, 1.02486, 1.06173, 0.947038, 1.01102, 0.924956, 1.04051, 0.817756, 0.921007, 1.04567, 0.956399, 0.972675, 0.930136, 1.06886, 0.888044, 0.898969, 0.954243, 0.431915
-24.7264,0.998741,0.114203,5,31,0,37.0507,-2.82352,-4.09772,0.351339,0.501082,1,-0.0589955,0,0.998258,0.2662,-0.323192,-0.152007,0.934467,-0.957686,1.04844,0.429803,-0.706074,-1.88467,0.120832,0.723011,0.332464,0.55373,1.60068,0.650265,-1.15087,-1.41453,0.217556,0.820456,0.351339,-0.0295616,0,0.50021,0.0935264,-0.11355,-0.0534059,0.328315,-0.336473,0.36836,0.151007,-0.248072,-0.662157,0.0525719,0.371211,0.170795,0.249357,0.828986,0.294275,-0.588383,-0.686691,0.164538,0.588084,0.0592387,0.0192537,0.325019,0.311768,-0.039985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-28.9843,0.994985,0.114203,5,31,0,38.3529,-3.52597,-2.22654,0.183954,0.869529,1,0.459936,0,0.887952,-0.658228,-0.918378,-1.36958,1.01321,1.8925,0.765127,-0.705489,1.06926,-1.0797,0.835192,0.106282,-2.2165,-1.16589,-0.16775,-0.891292,1.26982,0.573327,-0.586796,0.804134,0.183954,0.399928,0,0.7721,-0.121084,-0.16894,-0.25194,0.186384,0.348133,0.140748,-0.129778,0.196695,-0.198616,0.381608,-0.285225,-2.25909,-0.494977,0.627342,-0.382171,0.698285,0.870292,-0.884869,0.588084,0.0291556,0.121064,4.15233,4.58653,0.0919081,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
-27.9777,0.987067,0.114203,5,31,0,42.3446,-2.15072,-3.10997,0.703952,0.189391,1,0.112885,0,0.993608,-1.10935,0.75405,0.76101,-0.966758,-1.53968,-1.38201,-0.413901,-0.974876,-0.822321,-1.00447,-0.540077,2.04355,-0.144705,-0.111341,0.58982,-0.0292572,-0.567374,-0.829005,0.915705,0.703952,0.0213794,0,0.18818,-0.780932,0.530815,0.535715,-0.680552,-1.08386,-0.972866,-0.291367,-0.686267,-0.578875,-0.212738,-0.0855106,0.400826,-0.0478992,-0.0538695,0.081446,-0.0143546,-0.127611,-0.173583,0.588084,0.120557,0.043486,0.360709,0.331645,-0.0770711,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
-26.6275,0.979347,0.114203,5,31,0,37.3368,-1.85704,-2.24992,0.539767,1.00261,1,-0.131155,0,0.991362,0.458336,0.148391,-1.17998,0.390751,0.21317,-1.05836,-0.0960164,-0.24895,-2.34113,-0.440876,-1.7973,-0.409739,-0.602418,0.818299,-0.190229,0.143986,1.02655,-1.45231,0.931959,0.539767,-0.131497,0,0.993948,0.247395,0.0800967,-0.636912,0.210914,0.115062,-0.571268,-0.0518265,-0.134375,-1.26366,-0.498478,-1.80594,-0.252096,-0.650155,0.785315,-0.049906,0.15574,1.05308,-1.13567,0.588084,0.145542,0.125856,0.864739,0.845265,-0.0196861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-28.1274,0.968739,0.114203,5,31,0,43.4723,-3.79172,-4.54402,0.457508,0.804302,1,-0.0273968,0,0.999625,-0.582718,-0.126448,0.935715,-0.70252,1.38026,1.02001,0.269248,0.229626,2.17546,0.370374,1.76322,0.365246,0.557806,0.554894,0.118092,-0.151086,-1.37906,0.512474,0.738342,0.457508,-0.0220353,0,0.804,-0.266598,-0.0578509,0.428097,-0.321409,0.63148,0.466664,0.123183,0.105056,0.995289,0.310621,1.42041,0.273039,0.463957,0.415721,0.07247,-0.127406,-1.11382,0.364092,0.588084,0.0250502,0.0161796,0.645887,0.640063,-0.0088706,0,2,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0
-26.3245,0.989051,0.114203,5,31,0,35.825,-4.09511,-2.94369,0.471666,0.159596,1,0.2241,0,0.974566,0.91264,-0.37227,0.0299365,0.0506558,0.672971,0.1483,1.39143,-0.270662,0.260193,0.715493,1.61165,1.19695,-0.272986,1.15753,0.280998,0.247635,-0.507146,0.130482,0.93361,0.471666,0.0357654,0,0.155536,0.430461,-0.175587,0.01412,0.0238926,0.317417,0.0699481,0.656288,-0.127662,0.122724,0.143926,0.237356,0.18724,-0.0406476,0.204107,0.0490094,0.0882812,-0.0885601,0.0296007,0.588084,0.018963,0.0506513,2.67106,2.76021,0.0316883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25.8605,0.999628,0.114203,5,31,0,33.2605,-2.51512,-3.54199,0.141488,0.16724,1,0.496141,0,0.868242,-0.287827,0.227727,-0.183163,-0.00874037,0.391372,-0.117497,-1.30056,0.404856,0.0503841,-0.859716,-1.72299,-1.07337,0.39103,0.831102,-0.266204,-0.656863,-0.163993,-0.443358,0.712776,0.141488,0.0829747,0,0.145205,-0.0407239,0.0322206,-0.0259153,-0.00123665,0.0553743,-0.0166244,-0.184014,0.0572822,0.00712874,-0.148717,-0.231291,-0.171057,0.0560543,0.153154,-0.0484035,-0.203294,0.00978016,-0.0601972,0.588084,0.0754069,0.0286097,0.379405,0.361127,-0.0467972,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
-30.4576,0.989884,0.114203,5,31,0,41.0698,-3.74219,-3.17051,0.393594,0.744379,1,-0.918979,0,0.394307,-0.239046,0.17114,1.6495,-0.69427,0.619844,0.422959,0.674943,-2.18912,0.733666,0.78705,0.75465,-0.392551,-0.0695418,-0.282726,-1.20858,0.47026,0.74182,-0.112805,0.940826,0.393594,-0.684069,0,0.293514,-0.0940872,0.0673598,0.649236,-0.273261,0.243967,0.166474,0.265654,-0.861624,0.288767,0.394534,0.104428,-1.24359,0.454517,-0.507,-0.644069,-0.32368,1.71524,-0.534988,0.588084,0.0254366,0.0519357,2.04177,2.09884,0.0264991,0,0,4,0,0,4,0,0,0,0,0,1,0,0,7,0,0,0
-29.9048,0.996157,0.114203,5,31,0,38.7167,-3.04641,-3.29252,0.803848,0.0439769,1,0.697722,0,0.716369,0.879462,0.0835884,0.389522,0.399405,0.817672,-0.468645,0.0121275,2.81161,-0.303002,-1.82151,-0.32481,0.552683,0.565604,-0.58803,0.951692,0.177726,-1.45179,0.239716,0.749892,0.803848,0.0306836,0,0.0315037,0.706954,0.0671924,0.313117,0.321061,0.657285,-0.37672,0.0097487,2.2601,-0.243568,-0.0303993,-0.00766793,0.0293635,0.0300738,0.00656407,0.0156021,0.00597115,0.0405336,-0.00174526,0.588084,0.0598515,0.0358667,0.599262,0.584354,-0.0239848,1,11,0,0,0,10,0,0,0,0,3,0,0,0,24,0,0,0
-32.4023,0.977235,0.114203,5,31,0,44.6143,-2.42889,-3.37986,0.215832,0.152252,1,0.692247,0,0.721661,1.3888,-0.966087,0.302947,-0.301171,1.71802,-0.640304,-0.343721,2.65638,-0.19117,-0.65502,-0.388003,-0.958406,-0.498276,0.578601,0.791751,0.0802643,-0.737608,0.858655,0.641568,0.215832,0.105396,0,0.109874,0.299747,-0.208512,0.0653856,-0.0650023,0.370804,-0.138198,-0.074186,0.573331,-0.0412606,0.0744041,-0.144453,-0.0733747,-0.0864899,0.244646,0.0195076,-0.0274078,0.198927,0.0741954,0.588084,0.082447,0.0333625,0.404653,0.384106,-0.0490846,0,16,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,7
